[INFO] [1751366158.485865345] [minimal_publisher]: TIME: 7.647136 ms, Objects detected: 16
[INFO] [1751366158.683808470] [minimal_publisher]: TIME: 7.915968 ms, Objects detected: 12
[INFO] [1751366158.848393867] [minimal_publisher]: TIME: 7.714656 ms, Objects detected: 20
[INFO] [1751366159.036300212] [minimal_publisher]: TIME: 6.375424 ms, Objects detected: 13
[INFO] [1751366159.206715624] [minimal_publisher]: TIME: 7.909344 ms, Objects detected: 16
[INFO] [1751366159.401435992] [minimal_publisher]: TIME: 7.921664 ms, Objects detected: 22
[INFO] [1751366159.561042651] [minimal_publisher]: TIME: 5.785600 ms, Objects detected: 15
[INFO] [1751366159.751543353] [minimal_publisher]: TIME: 6.159168 ms, Objects detected: 21
[INFO] [1751366159.911467081] [minimal_publisher]: TIME: 7.367040 ms, Objects detected: 18
[INFO] [1751366160.092980758] [minimal_publisher]: TIME: 7.583072 ms, Objects detected: 16
[INFO] [1751366160.275754982] [minimal_publisher]: TIME: 6.552576 ms, Objects detected: 10
[INFO] [1751366160.440844013] [minimal_publisher]: TIME: 7.505984 ms, Objects detected: 12
[INFO] [1751366160.615060631] [minimal_publisher]: TIME: 5.772160 ms, Objects detected: 16
[INFO] [1751366160.775764537] [minimal_publisher]: TIME: 6.920096 ms, Objects detected: 12
[INFO] [1751366160.963239067] [minimal_publisher]: TIME: 7.052288 ms, Objects detected: 15
[INFO] [1751366161.121689034] [minimal_publisher]: TIME: 7.479296 ms, Objects detected: 15
[INFO] [1751366161.305387558] [minimal_publisher]: TIME: 7.447552 ms, Objects detected: 13
[INFO] [1751366161.461519114] [minimal_publisher]: TIME: 6.370304 ms, Objects detected: 9
[INFO] [1751366161.641157711] [minimal_publisher]: TIME: 6.901056 ms, Objects detected: 14
[INFO] [1751366161.800213596] [minimal_publisher]: TIME: 6.720512 ms, Objects detected: 9
[INFO] [1751366161.981528059] [minimal_publisher]: TIME: 6.928384 ms, Objects detected: 12
[INFO] [1751366162.135324266] [minimal_publisher]: TIME: 7.141056 ms, Objects detected: 10
[INFO] [1751366162.313155082] [minimal_publisher]: TIME: 7.159808 ms, Objects detected: 12
[INFO] [1751366162.468252059] [minimal_publisher]: TIME: 7.094400 ms, Objects detected: 13
[INFO] [1751366162.624296066] [minimal_publisher]: TIME: 5.864544 ms, Objects detected: 16
[INFO] [1751366162.803563151] [minimal_publisher]: TIME: 7.096992 ms, Objects detected: 14
[INFO] [1751366162.952938446] [minimal_publisher]: TIME: 6.704288 ms, Objects detected: 8
[INFO] [1751366163.132363606] [minimal_publisher]: TIME: 7.275168 ms, Objects detected: 12
[INFO] [1751366163.280886123] [minimal_publisher]: TIME: 5.888192 ms, Objects detected: 13
[INFO] [1751366163.453058097] [minimal_publisher]: TIME: 7.059040 ms, Objects detected: 14
[INFO] [1751366163.600646541] [minimal_publisher]: TIME: 6.809984 ms, Objects detected: 12
[INFO] [1751366163.768354137] [minimal_publisher]: TIME: 7.355104 ms, Objects detected: 13
[INFO] [1751366163.938560615] [minimal_publisher]: TIME: 7.109408 ms, Objects detected: 11
[INFO] [1751366164.088004208] [minimal_publisher]: TIME: 6.103040 ms, Objects detected: 13
[INFO] [1751366164.246803788] [minimal_publisher]: TIME: 6.478848 ms, Objects detected: 13
[INFO] [1751366164.421886087] [minimal_publisher]: TIME: 7.345408 ms, Objects detected: 14
[INFO] [1751366164.565782552] [minimal_publisher]: TIME: 7.026784 ms, Objects detected: 13
[INFO] [1751366164.736630146] [minimal_publisher]: TIME: 6.076416 ms, Objects detected: 17
[INFO] [1751366164.956216646] [minimal_publisher]: TIME: 7.848320 ms, Objects detected: 16
[INFO] [1751366165.106923906] [minimal_publisher]: TIME: 7.612096 ms, Objects detected: 16
[INFO] [1751366165.279480768] [minimal_publisher]: TIME: 5.872640 ms, Objects detected: 17
